Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Oct-1921,1289079,106783686,108072765,675397,4031663,4707060,585404,44087373,44672777,0,1635930,1635930
30-Nov-1921,428746,95523497,95952243,0,3055892,3055892,669361,40418688,41088049,0,2155274,2155274
31-Dec-1921,0,79784365,79784365,0,4093133,4093133,645562,39208157,39853719,0,2170634,2170634
31-Jan-1922,0,75208133,75208133,0,3726062,3726062,657754,39518778,40176532,0,2298136,2298136
28-Feb-1922,0,89084723,89084723,0,4390011,4390011,663684,40849398,41513082,0,2179572,2179572
31-Mar-1922,0,74732756,74732756,0,3943496,3943496,639302,40593230,41232532,0,2181388,2181388
30-Apr-1922,708637,100538131,101246768,0,4648544,4648544,413193,39898963,40312156,0,1873742,1873742
31-May-1922,2038605,112004674,114043279,0,2941998,2941998,612949,43484507,44097455,0,1707789,1707789
30-Jun-1922,1525085,117257244,118782329,0,2950484,2950484,1240956,44465258,45706215,0,1231155,1231155
31-Jul-1922,1523175,117652050,119175225,0,3204021,3204021,1237265,44822392,46059657,0,919380,919380
31-Aug-1922,2019476,112427132,114446608,0,2315685,2315685,602800,44115907,44718707,0,1699303,1699303
30-Sep-1922,428746,91940931,92369677,0,3614097,3614097,663430,40176175,40839605,0,2196492,2196492
31-Oct-1922,386877,85553294,85940171,0,3311226,3311226,616688,41298781,41915469,0,2281637,2281637
30-Nov-1922,675164,81502026,82177189,0,3517711,3517711,303011,40576382,40879393,0,2601163,2601163
31-Dec-1922,670700,100701861,101372560,0,2963269,2963269,386572,40010690,40397261,0,2156772,2156772
31-Jan-1923,0,83648573,83648573,0,4098571,4098571,669615,38971863,39641479,0,1919269,1919269
28-Feb-1923,0,74540784,74540784,0,3865124,3865124,627111,40210396,40837507,0,2152337,2152337
31-Mar-1923,0,74011435,74011435,0,3018885,3018885,639362,40456605,41095967,0,2484246,2484246
30-Apr-1923,0,75810473,75810473,0,4111260,4111260,627111,40364797,40991908,0,2087760,2087760
31-May-1923,1769091,116262198,118031289,0,2829650,2829650,945835,44326284,45272120,0,1291661,1291661
30-Jun-1923,2034785,114794452,116829237,0,2683892,2683892,605566,43082439,43688004,0,1471084,1471084
31-Jul-1923,1375952,121321563,122697515,0,2811353,2811353,1447854,43571933,45019787,0,1011272,1011272
31-Aug-1923,1308726,109449988,110758713,675397,3291972,3967370,590696,43736101,44326797,0,1880540,1880540
30-Sep-1923,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
31-Oct-1923,420952,91464081,91885033,0,3678970,3678970,655316,40569721,41225037,0,2334314,2334314
30-Nov-1923,386877,86264412,86651289,0,3266688,3266688,622948,40810025,41432973,0,2328200,2328200
31-Dec-1923,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
31-Jan-1924,24688,68309995,68334684,0,4266693,4266693,595174,41102745,41697918,0,2406681,2406681
29-Feb-1924,0,73144044,73144044,0,3900080,3900080,627111,40310076,40937187,0,2226725,2226725
31-Mar-1924,386877,86264412,86651289,0,3266688,3266688,622948,40810025,41432973,0,2328200,2328200
30-Apr-1924,675164,79919149,80594312,0,3424567,3424567,297080,40545247,40842327,0,2686562,2686562
31-May-1924,576825,103319443,103896268,0,4337606,4337606,702038,40004072,40706110,0,2254193,2254193
30-Jun-1924,859760,105097300,105957060,0,4466180,4466180,436098,41428615,41864713,0,1820980,1820980
31-Jul-1924,729997,105038636,105768633,666813,4007232,4674046,568903,43546118,44115020,0,1929479,1929479
31-Aug-1924,558912,97787451,98346363,0,2916475,2916475,676770,39334606,40011376,0,2476655,2476655
30-Sep-1924,675164,77579277,78254441,0,2520029,2520029,290820,39556017,39846837,0,2420844,2420844
31-Oct-1924,24688,69706735,69731423,0,4231736,4231736,595174,41003065,41598238,0,2332293,2332293
30-Nov-1924,24688,72450182,72474870,0,4071556,4071556,595174,40527858,41123031,0,2242395,2242395
31-Dec-1924,0,74512606,74512606,0,3915349,3915349,633371,40573409,41206780,0,2219005,2219005
31-Jan-1925,0,71862433,71862433,0,4067388,4067388,633371,40387848,41021219,0,2027633,2027633
28-Feb-1925,283243,114244529,114527772,107733,4460842,4568575,621005,37904813,38525819,299620,1663284,1962904
31-Mar-1925,0,74506770,74506770,0,3965078,3965078,627111,40321390,40948501,0,2178943,2178943
30-Apr-1925,0,82838712,82838712,0,5720899,5720899,633371,39355012,39988383,0,1844308,1844308
31-May-1925,435371,99503992,99939363,0,4556646,4556646,682701,39009615,39692316,0,2155291,2155291
30-Jun-1925,2000950,113163631,115164581,0,2920915,2920915,597508,43294222,43891730,0,1634602,1634602
31-Jul-1925,1003380,125435563,126438943,0,2775457,2775457,1837517,40640257,42477774,0,1394430,1394430
31-Aug-1925,998173,106169031,107167204,666813,4396650,5063464,578809,43557137,44135946,0,1628993,1628993
30-Sep-1925,411599,84727980,85139579,0,3502126,3502126,633622,41541655,42175278,0,2276771,2276771
31-Oct-1925,386877,84249591,84636468,0,3165044,3165044,616688,41255374,41872062,0,2372820,2372820
30-Nov-1925,675164,81502026,82177189,0,3517711,3517711,303011,40576382,40879393,0,2601163,2601163
31-Dec-1925,24688,71162736,71187424,0,4288593,4288593,595174,40353611,40948784,0,2003241,2003241
31-Jan-1926,0,77892345,77892345,0,4249143,4249143,633371,39931883,40565255,0,2203138,2203138
28-Feb-1926,57486,99458907,99516394,0,3961641,3961641,669615,39654789,40324405,0,1681160,1681160
31-Mar-1926,428746,98035610,98464356,0,5055038,5055038,681223,39864364,40545587,0,1855781,1855781
30-Apr-1926,0,80701091,80701091,0,3842713,3842713,633371,39961090,40594461,0,2090330,2090330
31-May-1926,2000950,114661486,116662436,0,2809416,2809416,597508,42909694,43507202,0,1570857,1570857
30-Jun-1926,2034785,114794452,116829237,0,2683892,2683892,605566,43082439,43688004,0,1471084,1471084
31-Jul-1926,1769091,116821978,118591069,0,3078365,3078365,945835,44604845,45550680,0,1024612,1024612
31-Aug-1926,558912,97787451,98346363,0,2916475,2916475,676770,39334606,40011376,0,2476655,2476655
30-Sep-1926,20563,69862556,69883119,0,3062448,3062448,605290,41654599,42259889,0,2880790,2880790
31-Oct-1926,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
30-Nov-1926,0,78622094,78622094,0,4603906,4603906,632521,39508146,40140667,0,2156377,2156377
31-Dec-1926,691490,109542129,110233619,22727,3549685,3572413,395906,39612878,40008784,0,2024048,2024048
31-Jan-1927,907973,117368217,118276190,0,3093867,3093867,443186,38970255,39413440,0,2006735,2006735
28-Feb-1927,5013122,205425493,210438615,10578260,1959934,12538193,10757265,26836873,37594139,5219386,507763,5727150
31-Mar-1927,290039,94936676,95226715,0,2235863,2235863,694908,40835531,41530439,0,2530938,2530938
30-Apr-1927,2079420,129361102,131440521,34383,3813681,3848064,736142,40762932,41499073,0,1156558,1156558
31-May-1927,568327,102001041,102569369,0,3809793,3809793,695688,42448996,43144683,0,2457352,2457352
30-Jun-1927,1287169,107576379,108863548,675397,3889423,4564820,581712,43918595,44500307,0,1778811,1778811
31-Jul-1927,1325562,138295707,139621268,7551,3224532,3232083,1833157,39254508,41087665,0,936106,936106
31-Aug-1927,1521153,117497886,119019039,0,3184012,3184012,1233356,44865713,46099069,0,919380,919380
30-Sep-1927,729997,105038636,105768633,666813,4007232,4674046,568903,43546118,44115020,0,1929479,1929479
31-Oct-1927,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
30-Nov-1927,0,76036459,76036459,0,4089678,4089678,639302,40636637,41275939,0,2090204,2090204
31-Dec-1927,0,77892345,77892345,0,4249143,4249143,633371,39931883,40565255,0,2203138,2203138
31-Jan-1928,0,81507292,81507292,0,4002262,4002262,657754,38752030,39409784,0,2098621,2098621
29-Feb-1928,0,86954324,86954324,0,4516998,4516998,651823,41313419,41965241,0,2159549,2159549
31-Mar-1928,1448822,167143847,168592669,663497,2346188,3009685,3443882,36866582,40310464,907609,779612,1687221
30-Apr-1928,0,86975333,86975333,0,3472435,3472435,651553,42611664,43263217,0,2651474,2651474
31-May-1928,2056748,116808861,118865609,0,2961186,2961186,617888,43840684,44458572,0,1029742,1029742
30-Jun-1928,1005177,127457355,128462532,10695,3037468,3048164,1840991,39362132,41203124,0,1460995,1460995
31-Jul-1928,1325562,138295707,139621268,7551,3224532,3232083,1833157,39254508,41087665,0,936106,936106
31-Aug-1928,1005177,127457355,128462532,10695,3037468,3048164,1840991,39362132,41203124,0,1460995,1460995
30-Sep-1928,2070147,115830844,117900991,0,2835880,2835880,616823,43929458,44546282,0,1421062,1421062
31-Oct-1928,568327,101985006,102553333,0,4922075,4922075,695688,39399420,40095107,0,2173508,2173508
30-Nov-1928,0,78859717,78859717,0,2734700,2734700,639362,40868305,41507667,0,2584434,2584434
31-Dec-1928,0,73144044,73144044,0,3900080,3900080,627111,40310076,40937187,0,2226725,2226725
31-Jan-1929,0,71856598,71856598,0,4117117,4117117,627111,40135829,40762940,0,1987571,1987571
28-Feb-1929,24688,80001394,80026082,0,4063918,4063918,595174,39926853,40522027,0,2065938,2065938
31-Mar-1929,290039,79242878,79532917,0,1840578,1840578,658664,40577475,41236139,0,2903798,2903798
30-Apr-1929,0,77556014,77556014,0,2588518,2588518,639362,40824898,41464260,0,2675618,2675618
31-May-1929,1289079,107819991,109109069,675397,3923867,4599264,585404,44055967,44641371,0,1785748,1785748
30-Jun-1929,576825,104044771,104621596,0,3267023,3267023,702038,42951533,43653571,0,2452484,2452484
31-Jul-1929,859760,104951077,105810838,0,3758245,3758245,436098,43335419,43771517,0,2004458,2004458
31-Aug-1929,435371,95666459,96101830,0,2918623,2918623,676770,39636400,40313170,0,2435088,2435088
30-Sep-1929,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1929,386877,85553294,85940171,0,3311226,3311226,616688,41298781,41915469,0,2281637,2281637
30-Nov-1929,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
31-Dec-1929,670700,100465142,101135841,0,3168689,3168689,386572,40834514,41221086,0,2354094,2354094
31-Jan-1930,0,88297846,88297846,0,4256690,4256690,681866,39724883,40406749,0,2333674,2333674
28-Feb-1930,0,83769981,83769981,0,5704507,5704507,645562,38886077,39531639,0,1853253,1853253
31-Mar-1930,0,83784191,83784191,0,4678463,4678463,639302,42322294,42961596,0,2004981,2004981
30-Apr-1930,24688,69828783,69853471,0,4248287,4248287,595174,40755364,41350537,0,1981702,1981702
31-May-1930,411599,91627583,92039182,0,3384951,3384951,639883,40440581,41080463,0,2194660,2194660
30-Jun-1930,859760,104951077,105810838,0,3758245,3758245,436098,43335419,43771517,0,2004458,2004458
31-Jul-1930,1308726,111186674,112495400,675397,2810483,3485880,590696,43562465,44153161,0,1859589,1859589
31-Aug-1930,558912,97787451,98346363,0,2916475,2916475,676770,39334606,40011376,0,2476655,2476655
30-Sep-1930,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1930,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
30-Nov-1930,0,74905841,74905841,0,2740557,2740557,639362,40639337,41278699,0,2484246,2484246
31-Dec-1930,20563,65997209,66017772,0,4010134,4010134,593039,41463459,42056498,0,2501117,2501117
31-Jan-1931,0,77892345,77892345,0,4249143,4249143,633371,39931883,40565255,0,2203138,2203138
28-Feb-1931,0,77556014,77556014,0,2588518,2588518,639362,40824898,41464260,0,2675618,2675618
31-Mar-1931,0,74911677,74911677,0,2690828,2690828,645622,40891355,41536977,0,2524308,2524308
30-Apr-1931,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
31-May-1931,568327,101349081,101917408,0,4803091,4803091,689757,39263330,39953087,0,2255699,2255699
30-Jun-1931,568327,101275713,101844040,0,4880376,4880376,695688,39501534,40197222,0,2259061,2259061
31-Jul-1931,1287169,106540075,107827244,675397,3997218,4672616,581712,43950001,44531713,0,1628993,1628993
31-Aug-1931,565147,99341221,99906368,0,2978988,2978988,689757,39072209,39761966,0,2490701,2490701
30-Sep-1931,314728,73040267,73354995,0,2191922,2191922,620467,41106812,41727278,0,3091473,3091473
31-Oct-1931,386877,84249591,84636468,0,3165044,3165044,616688,41255374,41872062,0,2372820,2372820
30-Nov-1931,0,74905841,74905841,0,2740557,2740557,639362,40639337,41278699,0,2484246,2484246
31-Dec-1931,0,89120066,89120066,0,4306772,4306772,651823,41235051,41886873,0,1836708,1836708
31-Jan-1932,0,82759345,82759345,0,3718424,3718424,657754,38917774,39575528,0,2121679,2121679
29-Feb-1932,0,72546737,72546737,0,4068723,4068723,627111,40096845,40723955,0,2110385,2110385
31-Mar-1932,0,69003857,69003857,0,4095216,4095216,627111,40884963,41512074,0,2391011,2391011
30-Apr-1932,20563,67707719,67728281,0,4160680,4160680,593039,41333823,41926862,0,2384116,2384116
31-May-1932,411599,88818838,89230436,0,3791381,3791381,639883,40411374,41051257,0,2307467,2307467
30-Jun-1932,558912,98235310,98794222,0,2960149,2960149,682701,39148156,39830856,0,2419823,2419823
31-Jul-1932,568327,101349081,101917408,0,4803091,4803091,689757,39263330,39953087,0,2255699,2255699
31-Aug-1932,428746,91940931,92369677,0,3614097,3614097,663430,40176175,40839605,0,2196492,2196492
30-Sep-1932,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1932,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
30-Nov-1932,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Dec-1932,20563,70560459,70581022,0,4182581,4182581,593039,40584689,41177728,0,1980676,1980676
31-Jan-1933,24688,77192648,77217336,0,4470348,4470348,595174,39897647,40492820,0,2178745,2178745
28-Feb-1933,20563,71847906,71868468,0,3965544,3965544,593039,40758935,41351975,0,2219829,2219829
31-Mar-1933,0,79163029,79163029,0,4364607,4364607,626260,40162646,40788907,0,2132872,2132872
30-Apr-1933,20563,66336308,66356871,0,4135277,4135277,593039,41674271,42267310,0,2472556,2472556
31-May-1933,1291101,109860626,111151727,675397,3341218,4016615,589313,43817517,44406830,0,1768029,1768029
30-Jun-1933,854694,104825443,105680137,0,3981198,3981198,430100,40651088,41081188,0,2272367,2272367
31-Jul-1933,573783,102669224,103243007,0,4843454,4843454,702038,39523555,40225594,0,2307291,2307291
31-Aug-1933,435371,95666459,96101830,0,2918623,2918623,676770,39636400,40313170,0,2435088,2435088
30-Sep-1933,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1933,386877,84249591,84636468,0,3165044,3165044,616688,41255374,41872062,0,2372820,2372820
30-Nov-1933,675164,82103412,82778576,0,2830773,2830773,297080,41029475,41326555,0,2662631,2662631
31-Dec-1933,0,78853096,78853096,0,4109525,4109525,633371,39677092,40310463,0,2161688,2161688
31-Jan-1934,0,81632360,81632360,0,3826321,3826321,645562,39492155,40137717,0,2099276,2099276
28-Feb-1934,0,85924818,85924818,0,4606275,4606275,657814,39206852,39864666,0,2349928,2349928
31-Mar-1934,0,73144044,73144044,0,3900080,3900080,627111,40310076,40937187,0,2226725,2226725
30-Apr-1934,20563,70560459,70581022,0,4182581,4182581,593039,40584689,41177728,0,1980676,1980676
31-May-1934,732020,107071461,107803480,666813,3849351,4516164,572811,42902295,43475106,0,2079083,2079083
30-Jun-1934,1287169,107576379,108863548,675397,3889423,4564820,581712,43918595,44500307,0,1778811,1778811
31-Jul-1934,565147,98893361,99458509,0,2935313,2935313,683826,39258659,39942485,0,2547534,2547534
31-Aug-1934,420952,90986969,91407921,0,3704447,3704447,649056,40020113,40669169,0,2366140,2366140
30-Sep-1934,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1934,675164,82103412,82778576,0,2830773,2830773,297080,41029475,41326555,0,2662631,2662631
30-Nov-1934,0,80839942,80839942,0,4141323,4141323,627111,39443648,40070758,0,1952822,1952822
31-Dec-1934,24688,71852875,71877563,0,4240200,4240200,595174,40314626,40909800,0,2126054,2126054
31-Jan-1935,279891,96572540,96852431,0,4225008,4225008,401586,39202624,39604210,0,2012781,2012781
28-Feb-1935,0,78853096,78853096,0,4109525,4109525,633371,39677092,40310463,0,2161688,2161688
31-Mar-1935,0,84641532,84641532,0,5341859,5341859,645562,39926733,40572296,0,1868067,1868067
30-Apr-1935,0,93806995,93806995,0,3794596,3794596,657754,40095700,40753454,0,1951748,1951748
31-May-1935,675164,84881765,85556929,0,3851505,3851505,303011,39934857,40237868,0,2585295,2585295
30-Jun-1935,859760,105097300,105957060,0,4466180,4466180,436098,41428615,41864713,0,1820980,1820980
31-Jul-1935,1308726,109449988,110758713,675397,3291972,3967370,590696,43736101,44326797,0,1880540,1880540
31-Aug-1935,573783,102742591,103316375,0,4766169,4766169,696107,39285351,39981458,0,2303930,2303930
30-Sep-1935,314728,72145861,72460589,0,2470249,2470249,620467,40924080,41544547,0,3091473,3091473
31-Oct-1935,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
30-Nov-1935,24688,71359239,71383927,0,2890133,2890133,607425,41606252,42213677,0,2903355,2903355
31-Dec-1935,20563,70560459,70581022,0,4182581,4182581,593039,40584689,41177728,0,1980676,1980676
31-Jan-1936,293372,100682682,100976054,22727,4280653,4303380,427644,38144841,38572485,0,1686826,1686826
29-Feb-1936,2057217,135926271,137983488,376581,3525965,3902546,783228,38602349,39385576,66733,1188312,1255045
31-Mar-1936,0,74512606,74512606,0,3915349,3915349,633371,40573409,41206780,0,2219005,2219005
30-Apr-1936,0,74506770,74506770,0,3965078,3965078,627111,40321390,40948501,0,2178943,2178943
31-May-1936,428746,97661119,98089864,0,4934079,4934079,669361,39812609,40481970,0,1909251,1909251
30-Jun-1936,558912,101244482,101803394,0,4475687,4475687,682701,39582734,40265435,0,2188614,2188614
31-Jul-1936,1142424,122081526,123223950,0,2536907,2536907,1661588,43451315,45112903,0,1458626,1458626
31-Aug-1936,576825,104190994,104767819,0,3974958,3974958,702038,41044729,41746767,0,2269006,2269006
30-Sep-1936,420952,90986969,91407921,0,3704447,3704447,649056,40020113,40669169,0,2366140,2366140
31-Oct-1936,314728,75893008,76207735,0,2213823,2213823,620467,40357678,40978144,0,2688033,2688033
30-Nov-1936,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
31-Dec-1936,24688,75499426,75524114,0,2694997,2694997,607425,41031365,41638790,0,2739069,2739069
31-Jan-1937,20563,70560459,70581022,0,4182581,4182581,593039,40584689,41177728,0,1980676,1980676
28-Feb-1937,0,89622179,89622179,0,4430935,4430935,633371,41787195,42420566,0,1673291,1673291
31-Mar-1937,0,95669480,95669480,10695,4272210,4282905,663684,39601500,40265185,0,2016741,2016741
30-Apr-1937,0,78112496,78112496,0,4277290,4277290,639302,39951704,40591006,0,2165520,2165520
31-May-1937,428746,95909382,96338128,0,3134244,3134244,675292,39563590,40238882,0,2089762,2089762
30-Jun-1937,2000950,113163631,115164581,0,2920915,2920915,597508,43294222,43891730,0,1634602,1634602
31-Jul-1937,1269270,133646230,134915500,0,2439091,2439091,1759503,39842254,41601757,0,964495,964495
31-Aug-1937,998173,106169031,107167204,666813,4396650,5063464,578809,43557137,44135946,0,1628993,1628993
30-Sep-1937,675164,78866723,79541887,0,2302992,2302992,290820,39730264,40021084,0,2659998,2659998
31-Oct-1937,0,76193288,76193288,0,2523520,2523520,639362,40813583,41452946,0,2723399,2723399
30-Nov-1937,666768,106406701,107073469,10695,3186540,3197235,378972,38539674,38918646,0,2294095,2294095
31-Dec-1937,1607555,171586361,173193916,1428367,2207546,3635912,4078127,34574529,38652656,1119978,970971,2090949
31-Jan-1938,290039,91836730,92126769,0,2387135,2387135,688977,41045367,41734345,0,2851726,2851726
28-Feb-1938,7190528,214940081,222130609,10536579,1625906,12162485,22917981,25271559,48189540,4249681,467504,4717185
31-Mar-1938,10128033,221464097,231592129,4741173,2163148,6904321,31126429,24953372,56079800,8320657,0,8320657
30-Apr-1938,1016721,139623942,140640663,379257,3304924,3684181,1983518,36564585,38548103,0,878429,878429
31-May-1938,411599,90320314,90731913,0,3804444,3804444,663936,39888748,40552683,0,2276400,2276400
30-Jun-1938,733929,107315072,108049001,666813,3883796,4550609,576503,43039666,43616169,0,2086020,2086020
31-Jul-1938,2056748,116249081,118305829,0,2712471,2712471,617888,43562124,44180011,0,1296791,1296791
31-Aug-1938,2019476,112427132,114446608,0,2315685,2315685,602800,44115907,44718707,0,1699303,1699303
30-Sep-1938,558912,98235310,98794222,0,2960149,2960149,682701,39148156,39830856,0,2419823,2419823
31-Oct-1938,562092,100169802,100731894,0,4861538,4861538,688632,39577481,40266113,0,2188182,2188182
30-Nov-1938,411599,91977394,92388992,0,3500527,3500527,646143,40078464,40724607,0,2140065,2140065
31-Dec-1938,411599,93941293,94352892,0,3099592,3099592,652074,39788866,40440940,0,2226032,2226032
31-Jan-1939,290039,79463028,79753068,0,1868725,1868725,664595,40597296,41261891,0,2866180,2866180
28-Feb-1939,24688,71162736,71187424,0,4288593,4288593,595174,40353611,40948784,0,2003241,2003241
31-Mar-1939,0,71862433,71862433,0,4067388,4067388,633371,40387848,41021219,0,2027633,2027633
30-Apr-1939,1289079,107819991,109109069,675397,3923867,4599264,585404,44055967,44641371,0,1785748,1785748
31-May-1939,2072057,116009091,118081148,0,2840614,2840614,620515,43935134,44555649,0,1371770,1371770
30-Jun-1939,1005177,126206904,127212082,0,2723315,2723315,1840991,40018071,41859063,0,1398995,1398995
31-Jul-1939,1003380,125435563,126438943,0,2775457,2775457,1837517,40640257,42477774,0,1394430,1394430
31-Aug-1939,1306816,108170072,109476888,675397,3365324,4040721,587004,43630136,44217140,0,1723785,1723785
30-Sep-1939,386877,81507962,81894838,0,3390033,3390033,610757,39795207,40405964,0,2513781,2513781
31-Oct-1939,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
30-Nov-1939,420952,91464081,91885033,0,3678970,3678970,655316,40569721,41225037,0,2334314,2334314
31-Dec-1939,24688,72450182,72474870,0,4071556,4071556,595174,40527858,41123031,0,2242395,2242395
31-Jan-1940,295005,100834389,101129395,22727,4290037,4312765,429924,38086193,38516116,0,1686826,1686826
29-Feb-1940,3792198,201283737,205075935,6085727,2424550,8510277,9075026,27367084,36442110,5746951,456172,6203123
31-Mar-1940,2887550,176266476,179154026,1352299,2425058,3777357,4244346,33439755,37684102,1060010,811009,1871019
30-Apr-1940,0,84965621,84965621,0,4035628,4035628,633371,42437879,43071250,0,2259906,2259906
31-May-1940,558912,101171114,101730026,0,4552973,4552973,688632,39820939,40509570,0,2191975,2191975
30-Jun-1940,2021386,114069049,116090435,0,2593433,2593433,606492,43789852,44396344,0,1357952,1357952
31-Jul-1940,1314198,137028769,138342967,1213,2737654,2738867,1833157,40050154,41883310,0,971679,971679
31-Aug-1940,1005177,126206904,127212082,0,2723315,2723315,1840991,40018071,41859063,0,1398995,1398995
30-Sep-1940,1289079,107819991,109109069,675397,3923867,4599264,585404,44055967,44641371,0,1785748,1785748
31-Oct-1940,428746,94271444,94700190,0,3339730,3339730,669361,40252944,40922305,0,2132216,2132216
30-Nov-1940,0,76193288,76193288,0,2523520,2523520,639362,40813583,41452946,0,2723399,2723399
31-Dec-1940,970169,113956630,114926799,34383,3951407,3985791,184541,37684294,37868835,0,1881244,1881244
31-Jan-1941,3307676,188612579,191920254,5661750,2236553,7898304,7626883,32590628,40217511,2504257,581199,3085456
28-Feb-1941,4394230,186971694,191365924,3705583,1820408,5525992,5795332,32845208,38640540,2304188,467504,2771692
31-Mar-1941,1377310,156414047,157791358,768914,2775345,3544259,3083698,38189021,41272719,69367,756444,825812
30-Apr-1941,1265810,152280432,153546242,452971,2402094,2855065,2633234,37521211,40154444,264418,1000685,1265103
31-May-1941,739771,114510792,115250563,666813,3479690,4146503,587794,42042426,42630221,0,1406457,1406457
30-Jun-1941,856716,105675741,106532457,0,3223177,3223177,434009,41945476,42379485,0,2455632,2455632
31-Jul-1941,1292513,135095861,136388374,693,2412189,2412882,1804982,40357924,42162906,0,921768,921768
31-Aug-1941,2054838,114572979,116627817,0,2819237,2819237,614196,43940975,44555172,0,1409828,1409828
30-Sep-1941,573783,102669224,103243007,0,4843454,4843454,702038,39523555,40225594,0,2307291,2307291
31-Oct-1941,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
30-Nov-1941,420952,94984674,95405625,0,3155442,3155442,661247,40143587,40804833,0,2284416,2284416
31-Dec-1941,1608254,163774416,165382670,356904,2266867,2623771,3163436,37414948,40578384,688419,862413,1550832
31-Jan-1942,1390392,165543729,166934122,484218,2140277,2624495,3426117,36733227,40159344,1048492,1045271,2093763
28-Feb-1942,3790236,200999831,204790067,6421909,2351425,8773334,9047426,27474683,36522109,5354415,553501,5907917
31-Mar-1942,290039,83553886,83843925,0,2157980,2157980,670855,39467015,40137870,0,2896876,2896876
30-Apr-1942,290039,95983266,96273305,0,3407166,3407166,694908,41398495,42093403,0,2517441,2517441
31-May-1942,739771,111175871,111915642,666813,3583628,4250442,587794,42480838,43068632,0,1677658,1677658
